,,,,,,,,,Standard,Germany,,Standard at Germany,,Standard on Germany,,,Basic,at,Italy,,
,,,,,,,,,Premium,France,,Premium at France,,Premium on France,,,Premium,at,United,States,
,,,,,,,,,Standard,Mexico,,Standard at Mexico,,Standard on Mexico,,,,,,,
,,,,,,,,,Premium,Spain,,Premium at Spain,,Premium on Spain,,,,,,,
,,,,,,,,,Basic,Italy,,Basic at Italy,,Basic on Italy,,,,,,,
,,,,,,,,,Premium,United States,,Premium at United States,,,,,,,,,
,,,,,,,,,,Canada,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Premium,at,Canada,,
,,,,,,,,,,,,,,,,,Standard,at,United,Kingdom,
,,,,,,,,,,,,,,,,,Standard,at,Australia,,
,,,,,,,,,,,,,,,,,Basic,at,Germany,,
,,,,,,,,,,,,Premium on Canada,,,,,Premium,at,France,,
,,,,,,,,,,,,Premium on Canada,,,,,Basic,at,Mexico,,
,,,,JELSIA,J,A,6,JEL,,,,Premium on Canada,,,,,Standard,at,Spain,,
,,,,,,,,,,,,Premium on Canada,,,,,Premium,at,Italy,,
,,,,,,,,,,,,Premium on Canada,,,,,Basic,at,United,States,
,,,,,,,,,,,,Premium on Canada,,,,,Premium,at,Canada,,
,,,,,,,,,,,,Premium on Canada,,,,,Standard,at,United,Kingdom,
,,,,,,,,,,,,Premium on Italy,,,,,Basic,at,Australia,,
,,,,,,,,,,,,Basic on United States,,,,,Standard,at,Germany,,
,,,,,,,,,,,,Premium on Canada,,,,,Premium,at,France,,
,,,,,,,,,,,,Standard on United Kingdom,,,,,Standard,at,Mexico,,
,,,,,,,,,,,,Basic on Australia,,,,,Premium,at,Spain,,
,,,,,,,,,,,,Standard on Germany,,,,,Basic,at,Italy,,
,,,,,,,,,,,,Premium on France,,,,,Premium,at,United,States,
,,,,,,,,,,,,Standard on Mexico,,,,,,,,,
,,,,,,,,,,,,Premium on Spain,,,,,,,,,
,,,,,,,,,,,,Basic on Italy,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Device,,Plan Duration,,,,,,,,,,,,,,
,,,,,Tablet,,   1 Month?,,Tablet,,,,,,,,,,,,
,,,,,   Laptop,,1 Month,,Laptop,,,,,,,,,,,,
,,,,,Smart TV,,,,Smart TV,,,,,,,,,,,,
,,,,,Laptop,, 1 Month,,Laptop,,,,,,,,,,,,
,,,,,Smart TV,,1 Month,,Smart TV,,,,,,,,,,,,
,,,,,      Laptop,,1 Month,,Laptop,,,JELSIA,,,,,,,,,
,,,,,Smart TV,,   1 Month,,Smart TV,,,,,,,,,,,,
,,,,,Smartphone,,1 Month,,Smartphone,,,,,,,,,,,,
,,,,,Smart TV,,1 Month,,Smart TV,,,,,,,,,,,,
,,,,,Tablet,,  1 Month,,Tablet,,,,,,,,,,,,
,,,,,   Smart TV,,1 Month,,Smart TV,,,,,,,,,,,,
,,,,,Tablet,,  1 Month,,Tablet,,,,,,,,,,,,
,,,,, Smartphone,,1 Month,,Smartphone,,,,,,,,,,,,
,,,,,Laptop,, 1 Month,,Laptop,,,,,,,,,,,,
,,,,, Laptop,,1 Month,,Laptop,,,,,,,,,,,,
,,,,,Laptop,,  1 Month,,Laptop,,,,,,,,,,,,
,,,,,Smartphone,,1 Month,,Smartphone,,,,,vehicle,Amount,num,,,,,
,,,,,Smartphone,,   1 Month,,Smartphone,,,,,car,10000,1,,,,,
,,,,,,,,,,,,,,bike,20000,2,,,,,
What is your age?,19,,,,,,,,,,,,,bycycle,30000,3,,,,,
,,,,,,,,,,,,,,lorry,400000,4,,,,,
,,,,,,,,,,,,,,van,500000,5,,,,,
User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,,,,,bus,600000,6,,,,,
1,Basic,10,15-01-22,10/6/2023,United States,28,Male,Smartphone,1 Month,,,,,train ,70000,7,,,,,
2,Premium,15,5/9/2021,22-06-23,Canada,35,Female,Tablet,1 Month,,,,,flight,800000,8,,,,,
3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month,,,,,,,,,,,,
4,Standard,12,10/7/2022,26-06-23,Australia,51,Female,Laptop,1 Month,,,,,no.of.,van,5,,,,,
5,Basic,10,1/5/2023,28-06-23,Germany,33,Male,Smartphone,1 Month,,,,,no.of.,bike,2,,,,,
6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month,,,,,no.of.,lorry,4,,,,,
7,Standard,12,9/12/2021,25-06-23,Brazil,46,Male,Tablet,1 Month,,,,,no.of.,flight,8,,,,,
8,Basic,10,2/4/2023,24-06-23,Mexico,39,Female,Laptop,1 Month,,,,,no.of.,train,#N/A,,,,,
9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month,,,,,,,,,,,,
10,Premium,15,7/1/2023,22-06-23,Italy,44,Female,Smart TV,1 Month,,,,,,,,,,,,
11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month,,,,,,,,,,,,
12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month,,,,,,,,,,,,
13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month,,,,,,,,,,,,
14,Basic,10,1/8/2022,26-06-23,Australia,27,Male,Smartphone,1 Month,,,,,,,,,,,,
15,Standard,12,9/5/2023,28-06-23,Germany,38,Female,Smart TV,1 Month,,,,,,,,,,,,
16,Premium,15,7/4/2022,27-06-23,France,36,Male,Tablet,1 Month,,,,,,,,,,,,
17,Basic,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,1 Month,,,,,,,,,,,,
18,Standard,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,1 Month,,,,,,,,Country,(Multiple Items),,,
19,Premium,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,1 Month,,,,,,,,Device,(All),,,
20,Basic,10,27-05-23,22-06-23,Italy,41,Male,Tablet,1 Month,,,,,,,,,,,,
21,Premium,15,10/6/2023,22-06-23,United States,26,Female,Laptop,1 Month,,,,,,,,Average of Age,Column Labels,,,
22,Basic,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,1 Month,,,,,,,,Row Labels,Basic,Premium,Standard,Grand Total
23,Standard,12,5/12/2021,27-06-23,United Kingdom,49,Female,Smart TV,1 Month,,,,,,,,Female,40.66666667,39.5,51,42
24,Standard,12,3/4/2022,26-06-23,Australia,31,Male,Tablet,1 Month,,,,,,,,Male,38.16666667,45,35.33333333,38
25,Basic,10,14-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,,,,,,,,Grand Total,39,41.33333333,39.25,39.5
26,Premium,15,12/1/2022,27-06-23,France,29,Male,Smartphone,1 Month,,,,,,,,,,,,
27,Basic,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,,,,,,,,-,,,,
28,Standard,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,1 Month,,,,,,,,,,,,
29,Premium,15,19-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,,,,,,,,Sum of Monthly Revenue,Column Labels,,,
30,Basic,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,1 Month,,,,,,,,Row Labels,Female,Male,Grand Total,
31,Premium,15,3/2/2023,22-06-23,United States,28,Female,Smart TV,1 Month,,,,,,,,Basic,50,60,110,
32,Basic,10,7/7/2022,28-06-23,Canada,37,Male,Tablet,1 Month,,,,,,,,Premium,90,45,135,
33,Standard,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,,,,,,,,Standard,48,72,120,
34,Standard,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,1 Month,,,,,,,,Grand Total,188,177,365,
35,Basic,10,11/4/2023,28-06-23,Germany,39,Female,Smart TV,1 Month,,,,,,,,,,,,
36,Premium,15,1/3/2022,27-06-23,France,35,Male,Tablet,1 Month,,,,,,,,,,,,
37,Basic,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,1 Month,,,,,,,,Subscription Type,Basic,,,
38,Standard,12,5/11/2021,24-06-23,Mexico,32,Male,Smartphone,1 Month,,,,,,,,,,,,
39,Premium,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month,,,,,,,,Row Labels,Sum of User ID,,,
40,Basic,10,7/3/2023,22-06-23,Italy,48,Male,Tablet,1 Month,,,,,,,,1 Month,508,,,
41,Premium,15,20-01-23,22-06-23,United States,31,Female,Laptop,1 Month,,,,,,,,Grand Total,508,,,
42,Basic,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,1 Month,,,,,,,,,,,,
43,Standard,12,7/2/2022,27-06-23,United Kingdom,36,Female,Smart TV,1 Month,,,,,,,,,,,,
44,Standard,12,26-04-22,26-06-23,Australia,29,Male,Tablet,1 Month,,,,,,,,,,,,
45,Basic,10,28-01-23,28-06-23,Germany,43,Female,Laptop,1 Month,,,,,,,,,,,,
46,Premium,15,23-02-22,27-06-23,France,34,Male,Smartphone,1 Month,,,,,,,,,,,,
47,Basic,10,5/10/2022,25-06-23,Brazil,39,Female,Smart TV,1 Month,,,,,,,,,,,,
48,Standard,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,1 Month,,,,,,,,,,,,
49,Premium,15,10/11/2022,23-06-23,Spain,28,Female,Laptop,1 Month,,,,,,,,,,,,
50,Basic,10,2/6/2023,22-06-23,Italy,45,Male,Smartphone,1 Month,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,51,Premium,15,27-02-23,22-06-23,United States,30,Female,Smart TV,1 Month,,,,,,,,,
,,,52,Basic,10,29-08-22,28-06-23,Canada,37,Male,Tablet,1 Month,,,,,,,,,
,,,53,Standard,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,,,,,,,,,
,,,54,Standard,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,1 Month,,,,,,,,,
,,,55,Basic,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month,,,,,,,,,
,,,56,Premium,15,15-03-22,27-06-23,France,36,Male,Tablet,1 Month,,,,,,,,,
,,,57,Basic,10,1/10/2022,25-06-23,Brazil,46,Female,Laptop,1 Month,,,,,,,,,
,,,58,Standard,12,8/10/2021,24-06-23,Mexico,34,Male,Smartphone,1 Month,,,,,,,,,
,,,59,Premium,15,3/12/2022,23-06-23,Spain,27,Female,Smart TV,1 Month,,,,,,,,,
,,,60,Basic,10,14-06-23,22-06-23,Italy,42,Male,Tablet,1 Month,,,,,,,,,
,,,61,Premium,15,8/2/2023,22-06-23,United States,28,Female,Laptop,1 Month,,,,,,,,,
,,,62,Basic,10,3/8/2022,28-06-23,Canada,37,Male,Smartphone,1 Month,,,,,,,,,
,,,63,Standard,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,1 Month,,,,,,,,,
,,,64,Standard,12,20-06-22,26-06-23,Australia,29,Male,Tablet,1 Month,,,,,,,,,
,,,65,Basic,10,29-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,,,,,,,,,
,,,66,Premium,15,30-01-22,27-06-23,France,29,Male,Smartphone,1 Month,,,,,,,,,
,,,67,Basic,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,,,,,,,,,
,,,68,Standard,12,9/11/2021,24-06-23,Mexico,33,Male,Tablet,1 Month,,,,,,,,,
,,,69,Premium,15,23-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,,,,,,,,,
,,,70,Basic,10,8/5/2023,22-06-23,Italy,41,Male,Smartphone,1 Month,,,,,,,,,
,,,71,Basic,10,26-01-22,20-06-23,United States,27,Male,Smartphone,1 Month,,,,,,,,,
,,,72,Basic,10,11/10/2022,22-06-23,Canada,31,Female,Smartphone,1 Month,,,,,,,,,
,,,73,Standard,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,1 Month,,,,,,,,,
,,,74,Premium,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,1 Month,,,,,,,,,
,,,75,Basic,13,28-05-22,26-06-23,Germany,28,Female,Laptop,1 Month,,,,,,,,,
,,,76,Basic,13,29-12-21,26-06-23,France,51,Female,Laptop,1 Month,,,,,,,,,
,,,77,Premium,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,1 Month,,,,,,,,,
,,,78,Standard,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,1 Month,,,,,,,,,
,,,79,Standard,15,3/12/2022,25-06-23,Spain,43,Female,Laptop,1 Month,,,,,,,,,
,,,80,Basic,12,8/11/2022,22-06-23,Italy,43,Male,Tablet,1 Month,,,,,,,,,
,,,81,Premium,10,11/1/2023,24-06-23,United States,37,Male,Tablet,1 Month,,,,,,,,,
,,,82,Standard,12,7/12/2022,28-06-23,Canada,35,Male,Laptop,1 Month,,,,,,,,,
,,,83,Basic,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,1 Month,,,,,,,,,
,,,84,Standard,12,13-04-23,25-06-23,Australia,32,Male,Smartphone,1 Month,,,,,,,,,
,,,85,Premium,10,6/4/2023,27-06-23,Germany,37,Female,Laptop,1 Month,,,,,,,,,
,,,86,Basic,11,4/3/2022,25-06-23,France,29,Female,Smartphone,1 Month,,,,,,,,,
,,,87,Premium,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV,1 Month,,,,,,,,,
,,,88,Standard,12,27-09-22,28-06-23,Mexico,47,Male,Tablet,1 Month,,,,,,,,,
,,,89,Basic,15,20-10-22,26-06-23,Spain,39,Male,Smartphone,1 Month,,,,,,,,,
,,,90,Standard,13,3/2/2023,23-06-23,Italy,49,Female,Smartphone,1 Month,,,,,,,,,
,,,91,Premium,11,3/10/2022,23-06-23,United States,39,Male,Tablet,1 Month,,,,,,,,,
,,,92,Basic,14,5/1/2022,28-06-23,Canada,39,Male,Smart TV,1 Month,,,,,,,,,
,,,93,Standard,12,5/2/2022,26-06-23,United Kingdom,35,Male,Smartphone,1 Month,,,,,,,,,
,,,94,Premium,12,19-03-22,25-06-23,Australia,44,Male,Smartphone,1 Month,,,,,,,,,
,,,95,Basic,11,28-02-22,25-06-23,Germany,34,Male,Laptop,1 Month,,,,,,,,,
,,,96,Premium,14,26-07-22,24-06-23,France,32,Male,Laptop,1 Month,,,,,,,,,
,,,97,Basic,10,5/3/2022,24-06-23,Brazil,29,Female,Tablet,1 Month,,,,,,,,,
,,,98,Standard,13,7/3/2022,28-06-23,Mexico,31,Female,Tablet,1 Month,,,,,,,,,
,,,99,Standard,12,13-01-23,24-06-23,Spain,29,Female,Tablet,1 Month,,,,,,,,,
,,,100,Basic,12,22-01-23,25-06-23,Italy,35,Male,Laptop,1 Month,,,,,,,,,
,,,101,Premium,11,17-10-22,24-06-23,United States,46,Female,Tablet,1 Month,,,,,,,,,
,,,102,Basic,12,29-03-22,28-06-23,Canada,31,Male,Tablet,1 Month,,,,,,,,,
,,,103,Standard,13,4/4/2022,26-06-23,United Kingdom,36,Male,Laptop,1 Month,,,,,,,,,
,,,104,Premium,10,8/6/2022,25-06-23,Australia,38,Male,Laptop,1 Month,,,,,,,,,
,,,105,Basic,11,4/3/2022,27-06-23,Germany,46,Female,Laptop,1 Month,,,,,,,,,
,,,106,Premium,10,18-03-22,24-06-23,France,49,Female,Tablet,1 Month,,,,,,,,,
,,,107,Basic,14,7/3/2022,24-06-23,Brazil,29,Female,Smart TV,1 Month,,,,,,,,,
,,,108,Standard,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV,1 Month,,,,,,,,,
,,,109,Standard,13,8/2/2023,25-06-23,Spain,35,Female,Tablet,1 Month,,,,,,,,,
,,,110,Basic,13,26-01-23,24-06-23,Italy,37,Female,Laptop,1 Month,,,,,,,,,
,,,111,Premium,14,14-07-22,27-06-23,United States,40,Male,Tablet,1 Month,,,,,,,,,
,,,112,Basic,10,1/6/2022,28-06-23,Canada,33,Female,Laptop,1 Month,,,,,,,,,
,,,113,Standard,15,7/5/2022,26-06-23,United Kingdom,37,Male,Tablet,1 Month,,,,,,,,,
,,,114,Premium,10,18-11-22,25-06-23,Australia,48,Male,Smartphone,1 Month,,,,,,,,,
,,,115,Basic,11,5/4/2022,25-06-23,Germany,50,Female,Laptop,1 Month,,,,,,,,,
,,,116,Premium,14,19-05-22,23-06-23,France,45,Female,Smart TV,1 Month,,,,,,,,,
,,,117,Basic,15,30-10-21,23-06-23,Brazil,40,Female,Tablet,1 Month,,,,,,,,,
,,,118,Standard,12,7/8/2022,27-06-23,Mexico,33,Male,Smartphone,1 Month,,,,,,,,,
,,,119,Standard,11,20-09-22,25-06-23,Spain,44,Female,Smartphone,1 Month,,,,,,,,,
,,,120,Basic,10,18-10-22,25-06-23,Italy,30,Female,Smart TV,1 Month,,,,,,,,,
,,,121,Premium,15,3/10/2022,24-06-23,United States,27,Male,Smart TV,1 Month,,,,,,,,,
,,,122,Basic,11,3/5/2022,28-06-23,Canada,51,Male,Smart TV,1 Month,,,,,,,,,
,,,123,Standard,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,1 Month,,,,,,,,,
,,,124,Premium,15,5/11/2022,25-06-23,Australia,43,Male,Laptop,1 Month,,,,,,,,,
,,,125,Basic,12,21-08-22,24-06-23,Germany,42,Male,Smartphone,1 Month,,,,,,,,,
,,,126,Premium,13,21-09-22,23-06-23,France,45,Male,Laptop,1 Month,,,,,,,,,
,,,127,Basic,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone,1 Month,,,,,,,,,
,,,128,Standard,12,6/10/2022,27-06-23,Mexico,48,Male,Smartphone,1 Month,,,,,,,,,
,,,129,Standard,13,5/11/2022,23-06-23,Spain,38,Male,Smart TV,1 Month,,,,,,,,,
,,,130,Basic,14,7/1/2023,23-06-23,Italy,43,Female,Tablet,1 Month,,,,,,,,,
,,,131,Premium,15,6/10/2022,23-06-23,United States,47,Male,Laptop,1 Month,,,,,,,,,
,,,132,Basic,15,24-06-22,28-06-23,Canada,48,Female,Smart TV,1 Month,,,,,,,,,
,,,133,Standard,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,1 Month,,,,,,,,,
,,,134,Premium,15,5/11/2022,25-06-23,Australia,32,Male,Tablet,1 Month,,,,,,,,,
,,,135,Basic,13,18-07-22,26-06-23,Germany,47,Female,Smart TV,1 Month,,,,,,,,,
,,,136,Premium,12,13-09-22,26-06-23,France,41,Female,Smart TV,1 Month,,,,,,,,,
,,,137,Basic,12,10/8/2022,22-06-23,Brazil,49,Male,Laptop,1 Month,,,,,,,,,
,,,138,Standard,15,21-09-22,23-06-23,Mexico,28,Male,Laptop,1 Month,,,,,,,,,
,,,139,Standard,13,24-03-23,23-06-23,Spain,40,Male,Smartphone,1 Month,,,,,,,,,
,,,140,Basic,12,2/5/2022,23-06-23,Italy,43,Female,Smartphone,1 Month,,,,,,,,,
,,,141,Premium,12,11/5/2022,27-06-23,United States,42,Male,Smartphone,1 Month,,,,,,,,,
,,,142,Basic,14,10/6/2022,22-06-23,Canada,28,Male,Smart TV,1 Month,,,,,,,,,
,,,143,Standard,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,1 Month,,,,,,,,,
,,,144,Premium,10,17-08-22,26-06-23,Australia,33,Male,Smart TV,1 Month,,,,,,,,,
,,,145,Basic,11,5/5/2022,26-06-23,Germany,35,Female,Laptop,1 Month,,,,,,,,,
,,,146,Basic,10,6/10/2022,25-06-23,France,38,Male,Tablet,1 Month,,,,,,,,,
,,,147,Basic,12,8/11/2022,24-06-23,Brazil,49,Female,Laptop,1 Month,,,,,,,,,
,,,148,Standard,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone,1 Month,,,,,,,,,
,,,149,Premium,13,17-11-22,27-06-23,Spain,46,Female,Smart TV,1 Month,,,,,,,,,
,,,150,Basic,10,15-12-22,23-06-23,Italy,47,Female,Laptop,1 Month,,,,,,,,,
,,,151,Basic,15,12/12/2022,25-06-23,United States,30,Female,Laptop,1 Month,,,,,,,,,
,,,152,Premium,14,23-11-22,27-06-23,Canada,33,Female,Tablet,1 Month,,,,,,,,,
,,,153,Standard,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,1 Month,,,,,,,,,
,,,154,Standard,11,11/3/2023,27-06-23,Australia,27,Male,Laptop,1 Month,,,,,,,,,
,,,155,Basic,14,18-11-22,27-06-23,Germany,28,Male,Tablet,1 Month,,,,,,,,,
,,,156,Premium,15,19-08-22,25-06-23,France,47,Male,Smartphone,1 Month,,,,,,,,,
,,,157,Standard,14,27-09-22,24-06-23,Brazil,30,Male,Laptop,1 Month,,,,,,,,,
,,,158,Basic,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone,1 Month,,,,,,,,,
,,,159,Standard,10,21-12-22,26-06-23,Spain,51,Female,Smart TV,1 Month,,,,,,,,,
,,,160,Premium,15,27-10-22,25-06-23,Italy,39,Male,Smartphone,1 Month,,,,,,,,,
,,,161,Basic,10,23-10-22,24-06-23,United States,45,Male,Tablet,1 Month,,,,,,,,,
,,,162,Premium,15,19-04-22,25-06-23,Canada,31,Male,Laptop,1 Month,,,,,,,,,
,,,163,Standard,11,5/4/2022,26-06-23,United Kingdom,29,Male,Laptop,1 Month,,,,,,,,,
,,,164,Basic,11,11/3/2022,26-06-23,Australia,42,Female,Tablet,1 Month,,,,,,,,,
,,,165,Standard,14,25-05-22,25-06-23,Germany,49,Male,Tablet,1 Month,,,,,,,,,
,,,166,Premium,13,16-04-22,26-06-23,France,42,Male,Laptop,1 Month,,,,,,,,,
,,,167,Basic,13,7/4/2022,24-06-23,Brazil,29,Male,Smartphone,1 Month,,,,,,,,,
,,,168,Standard,10,11/12/2022,28-06-23,Mexico,29,Male,Tablet,1 Month,,,,,,,,,
,,,169,Premium,12,20-01-23,26-06-23,Spain,49,Male,Tablet,1 Month,,,,,,,,,
,,,170,Basic,14,12/1/2023,25-06-23,Italy,32,Male,Laptop,1 Month,,,,,,,,,
,,,171,Premium,11,29-04-22,24-06-23,United States,35,Female,Tablet,1 Month,,,,,,,,,
,,,172,Basic,12,27-04-22,26-06-23,Canada,39,Female,Smartphone,1 Month,,,,,,,,,
,,,173,Standard,15,3/6/2022,25-06-23,United Kingdom,40,Male,Smartphone,1 Month,,,,,,,,,
,,,174,Standard,14,23-04-22,25-06-23,Australia,39,Female,Tablet,1 Month,,,,,,,,,
,,,175,Basic,10,22-04-22,26-06-23,Germany,47,Female,Laptop,1 Month,,,,,,,,,
,,,176,Premium,13,12/4/2022,25-06-23,France,37,Female,Smart TV,1 Month,,,,,,,,,
,,,177,Basic,15,23-05-22,26-06-23,Brazil,27,Female,Smartphone,1 Month,,,,,,,,,
,,,178,Standard,13,19-10-22,26-06-23,Mexico,49,Female,Laptop,1 Month,,,,,,,,,
,,,179,Premium,10,3/12/2022,26-06-23,Spain,30,Female,Tablet,1 Month,,,,,,,,,
,,,180,Basic,14,26-09-22,25-06-23,Italy,36,Male,Laptop,1 Month,,,,,,,,,
,,,181,Premium,15,16-06-22,27-06-23,United States,33,Male,Smartphone,1 Month,,,,,,,,,
,,,182,Basic,13,16-05-22,25-06-23,Canada,30,Female,Laptop,1 Month,,,,,,,,,
,,,183,Standard,15,26-05-22,26-06-23,United Kingdom,36,Female,Tablet,1 Month,,,,,,,,,
,,,184,Standard,13,26-04-22,25-06-23,Australia,28,Female,Laptop,1 Month,,,,,,,,,
,,,185,Basic,11,12/5/2022,25-06-23,Germany,47,Female,Tablet,1 Month,,,,,,,,,
,,,186,Premium,12,1/3/2022,25-06-23,France,33,Female,Smart TV,1 Month,,,,,,,,,
,,,187,Basic,13,10/7/2022,24-06-23,Brazil,49,Female,Laptop,1 Month,,,,,,,,,
,,,188,Standard,15,16-07-22,27-06-23,Mexico,44,Female,Smart TV,1 Month,,,,,,,,,
,,,189,Premium,13,2/9/2022,26-06-23,Spain,47,Male,Smart TV,1 Month,,,,,,,,,
